sg_uf;nm_municipio;nm_candidato;ds_cargo;nr_candidato;sg_partido;nr_turno;ds_sit_totalizacao;qt_votos_validos;qt_votos_nominais;dt_carga
AC;BRASILÉIA;MOISES BARROS DE MEDEIROS;Deputado Federal;5500;PSD;1;Não Eleito;13960;9;2022-11-14 18:47:07
AC;BRASILÉIA;MOISES DINIZ LIMA;Deputado Estadual;77789;SOLIDARIEDADE;1;Não Eleito;14094;9;2022-11-14 18:47:07
AC;BRASILÉIA;MOISES LIMA DOS SANTOS;Deputado Estadual;27777;DC;1;Não Eleito;14094;2;2022-11-14 18:47:07
AC;BRASILÉIA;MONICA MARIA DINIZ LIRA;Deputado Estadual;50999;PSOL;1;Não Eleito;14094;0;2022-11-14 18:47:07
AC;BRASILÉIA;NABUCO SILVA DOS SANTOS;Deputado Estadual;44222;UNIÃO;1;Suplente;14094;2;2022-11-14 18:47:07
AC;BRASILÉIA;NAZARE GONÇALVES PEIXOTO;Deputado Federal;5115;PATRIOTA;1;Não Eleito;13960;0;2022-11-14 18:47:07
AC;BRASILÉIA;NESIO MENDES DE CARVALHO;Deputado Estadual;15234;MDB;1;Suplente;14094;11;2022-11-14 18:47:07
AC;BRASILÉIA;NEURA MENDES VILA NOVA;Deputado Estadual;40004;PSB;1;Suplente;14094;0;2022-11-14 18:47:07
AC;BRASILÉIA;NICOLAU CANDIDO DA SILVA JUNIOR;Deputado Estadual;11122;PP;1;Eleito;14094;250;2022-11-14 18:47:07
AC;BRASILÉIA;NILCEMIR SOARES DA SILVA;Deputado Estadual;50001;PSOL;1;Não Eleito;14094;0;2022-11-14 18:47:07
AC;BRASILÉIA;NILSON EUCLIDES DA SILVA;Governador;50;PSOL;1;Não Eleito;13563;8;2022-11-14 18:47:07
AC;BRASILÉIA;NILVA MARIA SANTOS DANIEL;Deputado Federal;3603;AGIR;1;Não Eleito;13960;0;2022-11-14 18:47:07
AC;BRASILÉIA;NINAWA INU PEREIRA NUNES HUNI KUI;Deputado Federal;1818;REDE;1;Não Eleito;13960;19;2022-11-14 18:47:07
AC;BRASILÉIA;NORMANDO RODRIGUES SALES;Deputado Federal;4511;PSDB;1;Não Eleito;13960;34;2022-11-14 18:47:07
AC;BRASILÉIA;NORMELI DE ARAÚJO;Deputado Estadual;77321;SOLIDARIEDADE;1;Não Eleito;14094;1;2022-11-14 18:47:07
AC;BRASILÉIA;ORLEILSON GONÇALVES CAMELI;Deputado Federal;1277;PDT;1;Não Eleito;13960;204;2022-11-14 18:47:07
AC;BRASILÉIA;OSDENIR SANTOS DE ARAUJO;Deputado Estadual;90888;PROS;1;Não Eleito;14094;1;2022-11-14 18:47:07
AC;BRASILÉIA;OSVALDO GOMES DE OLIVEIRA;Deputado Estadual;27123;DC;1;Não Eleito;14094;0;2022-11-14 18:47:07
AC;BRASILÉIA;OSÉIAS DE SOUZA SILVA;Deputado Estadual;22456;PL;1;Suplente;14094;16;2022-11-14 18:47:07
AC;BRASILÉIA;OTACILIA PEREIRA DA SILVA;Deputado Estadual;22023;PL;1;Suplente;14094;0;2022-11-14 18:47:07
AC;BRASILÉIA;OTON RODRIGUES SALES;Deputado Estadual;44999;UNIÃO;1;Suplente;14094;2;2022-11-14 18:47:07
AC;BRASILÉIA;PABLO THYAGO BREGENSE DE SOUZA;Deputado Estadual;55777;PSD;1;Eleito;14094;14;2022-11-14 18:47:07
AC;BRASILÉIA;PAULO HENRIQUE OLIVEIRA DA SILVA;Deputado Estadual;45777;PSDB;1;Suplente;14094;3;2022-11-14 18:47:07
